,^N225,^GSPC/JPY,BTC/JPY
2020-01-31,23205.1796875,,
2020-02-03,22971.939453125,352091.95512749255,1007157.525619939
2020-02-04,23084.58984375,358157.85301582515,997162.7369936705
2020-02-05,23319.560546875,364971.80533582345,1052160.38422139
2020-02-06,23873.58984375,367413.49814350717,1068468.4793315604
2020-02-07,23827.98046875,365941.6167024523,1077240.3220638335
2020-02-10,23685.98046875,367539.90643402375,1080728.115984276
2020-02-12,23861.2109375,371208.928824652,1134244.8489886522
2020-02-13,23827.73046875,370613.8090689294,1122008.7794652209
2020-02-14,23687.58984375,370999.60256765597,1131837.2844383642
2020-02-17,23523.240234375,371111.1381482519,1063890.447343558
2020-02-18,23193.80078125,370158.96116141975,1113895.449547112
2020-02-19,23400.69921875,372202.2067755647,1058892.2223908007
2020-02-20,23479.150390625,375136.9030396454,1068558.5611152872
2020-02-21,23386.740234375,373674.4714450836,1084435.8842526376
2020-02-25,22605.41015625,346783.97870408744,1035593.420942083
2020-02-26,22426.189453125,343694.18539354764,972780.1675834134
2020-02-27,21948.23046875,328744.88786700927,969483.1177270263
2020-02-28,21142.9609375,323959.77280598134,951021.4556266665
2020-03-02,21344.080078125,332808.49386845157,955236.829124853
2020-03-03,21082.73046875,325826.612436831,953360.5498995185
2020-03-04,21100.060546875,335038.675007388,937135.2985805869
2020-03-05,21329.119140625,325608.7869769335,977573.9484751225
2020-03-06,20749.75,315808.38347648084,969252.2666395158
2020-03-09,19698.759765625,285471.9690930471,823567.7933390737
2020-03-10,19867.119140625,297192.4963387549,815588.0235362649
2020-03-11,19416.060546875,287916.1662493944,830905.8733676076
2020-03-12,18559.630859375,259350.90833935514,519695.909554407
2020-03-13,17431.05078125,283599.80589783937,582019.3959348798
2020-03-16,17002.0390625,254571.433384493,534984.857907705
2020-03-17,17011.529296875,268536.74974728376,554831.2169117108
2020-03-18,16726.55078125,257500.7915514037,562487.8025427312
2020-03-19,16552.830078125,261081.4902303405,670877.663290523
2020-03-23,16887.779296875,247147.66350621358,708758.9681341313
2020-03-24,18092.349609375,271230.2590826303,746398.1143024787
2020-03-25,19546.630859375,275084.2405102663,742399.7376079
2020-03-26,18664.599609375,291611.6474546734,744692.0453925803
2020-03-27,19389.4296875,277297.2499807086,705913.2345648296
2020-03-30,19084.970703125,282136.3512509428,690648.6098784655
2020-03-31,18917.009765625,279226.19961031526,695598.9855126143
2020-04-01,18065.41015625,265598.52199172974,710281.335055612
2020-04-02,17818.720703125,271027.7123879269,728663.8099617139
2020-04-03,17820.189453125,268776.6767359711,727212.548047822
2020-04-06,18576.30078125,289523.36492333,790391.725176096
2020-04-07,18950.1796875,290181.50687870197,783054.4583780207
2020-04-08,19353.240234375,298788.0775434375,796857.1577159166
2020-04-09,19345.76953125,303872.77331253886,795358.1553835273
2020-04-10,19498.5,302865.648097584,745324.7828510031
2020-04-13,19043.400390625,299183.9309390187,741563.983152777
2020-04-14,19638.810546875,306301.5248128101,736402.6075739563
2020-04-15,19550.08984375,298108.99058246054,711396.51006734
2020-04-16,19290.19921875,301256.7844508942,765832.1913268603
2020-04-17,19897.259765625,310294.38464765623,765997.6412767991
2020-04-20,19669.119140625,303969.6225674562,740980.4586731717
2020-04-21,19280.779296875,294642.6814411767,740797.5143443123
2020-04-22,19137.94921875,301544.48070119694,766672.7159898244
2020-04-23,19429.439453125,301639.2265686281,801020.9256120622
2020-04-24,19262.0,305423.28400914185,812982.843546588
2020-04-27,19783.220703125,309422.2134064697,837988.1588844024
2020-04-28,19771.189453125,307193.04963138886,837564.6447175443
2020-04-30,20193.689453125,310494.1567898132,923088.4164078087
2020-05-01,19619.349609375,303692.7285255492,951056.5173123777
2020-05-07,19674.76953125,305956.4465193413,1056761.7256699875
2020-05-08,20179.08984375,311610.6067909058,1046856.1261700839
2020-05-11,20390.66015625,313292.9745894782,919695.404639788
2020-05-12,20366.48046875,308727.34595591575,947062.4476256594
2020-05-13,20267.05078125,302129.1613769531,993167.9043759704
2020-05-14,19914.779296875,305026.37866973877,1040856.0473038405
2020-05-15,20037.470703125,307461.13914004527,1001521.8794966489
2020-05-18,20133.73046875,316682.77439829893,1042766.6753200516
2020-05-19,20433.44921875,313868.20421443135,1044713.8066401333
2020-05-20,20595.150390625,320369.27842624485,1026672.6063696742
2020-05-21,20552.310546875,317233.15053860843,977115.856123209
2020-05-22,20388.16015625,318098.0239537172,988329.9307986349
2020-05-25,20741.650390625,318405.40229336545,959588.6013689786
2020-05-26,21271.169921875,322174.727502279,951420.2925302088
2020-05-27,21419.23046875,326356.6290797293,986876.7358341813
2020-05-28,21916.310546875,326598.8218941279,1026856.8706313595
2020-05-29,21877.890625,327698.66076223925,1016055.6059385017
2020-06-01,22062.390625,329126.565295849,1095096.1633499637
2020-06-02,22325.609375,331336.025993729,1024911.2963496819
2020-06-03,22613.759765625,339796.36867230386,1050737.7859385833
2020-06-04,22695.740234375,339243.05000409856,1068259.6070906818
2020-06-05,22863.73046875,348617.45691212453,1054992.963869527
2020-06-08,23178.099609375,354379.84216364473,1071287.479532808
2020-06-09,23091.029296875,347687.15824718773,1061942.0289922357
2020-06-10,23124.94921875,343887.5006541312,1063966.5723229647
2020-06-11,22472.91015625,321167.6789761111,997253.5060782433
2020-06-12,22305.48046875,324821.0424574055,1012582.5683405399
2020-06-15,21530.94921875,329078.8397503104,1014164.2699865475
2020-06-16,22582.2109375,335797.0485838782,1024994.2259429172
2020-06-17,22455.759765625,334419.9712530151,1018274.2116806209
2020-06-18,22355.4609375,333011.1546082981,1006069.2862216383
2020-06-19,22478.7890625,331476.75518518314,993873.6828505248
2020-06-22,22437.26953125,333084.117132267,1030782.1808212325
2020-06-23,22549.05078125,334744.2986636609,1029439.3497131765
2020-06-24,22534.3203125,324652.72845469415,991266.1695475504
2020-06-25,22259.7890625,330098.0025327783,991742.6819100901
2020-06-26,22512.080078125,322434.75430902094,981852.4637562037
2020-06-29,21995.0390625,327362.29235443845,985425.0582600385
2020-06-30,22288.140625,333560.19394913316,983156.6510571539
2020-07-01,22121.73046875,336478.61219577864,996557.5948720425
2020-07-02,22145.9609375,336056.6463027075,979544.0303345919
2020-07-03,22306.48046875,336466.69117787294,976857.9019900635
2020-07-06,22714.439453125,342071.102297185,1008604.2053190619
2020-07-07,22614.689453125,337678.4208665211,993315.2540772259
2020-07-08,22438.650390625,341015.808303535,1014281.2359365225
2020-07-09,22529.2890625,338161.376346292,995368.1900224313
2020-07-10,22290.810546875,341550.95382330567,995022.2142030522
2020-07-13,22784.740234375,337324.5786226317,988234.8341538608
2020-07-14,22587.009765625,343017.1607378125,991575.0198429823
2020-07-15,22945.5,346032.4423458986,985885.8200975135
2020-07-16,22770.359375,343799.10440999083,976390.3701217845
2020-07-17,22696.419921875,345942.58245108277,981743.0918789804
2020-07-20,22717.48046875,348239.54310361296,981397.5119180977
2020-07-21,22884.220703125,349169.53325084224,1004950.4533759505
2020-07-22,22751.609375,349983.7731259912,1017613.6170390844
2020-07-27,22715.849609375,343354.7625556998,1164955.5652659833
2020-07-28,22657.380859375,338776.2117797509,1148694.704613611
2020-07-29,22397.109375,342484.8542799242,1166736.8913308904
2020-07-30,22339.23046875,340956.968433816,1167032.9891277999
2020-07-31,21710.0,342430.66283516586,1185374.4594924152
2020-08-03,22195.380859375,348787.18478449434,1190605.9141587317
2020-08-04,22573.66015625,350589.2522991821,1188160.7763795257
2020-08-05,22514.849609375,351459.0975618884,1240650.011547938
